DATE,AD_CLIENT_ID,PLATFORM_TYPE_CODE,AD_REQUESTS,MATCHED_AD_REQUESTS,AD_REQUESTS_COVERAGE,INDIVIDUAL_AD_IMPRESSIONS,CLICKS,CLICKS_SPAM_RATIO,MATCHED_AD_REQUESTS_CTR,COST_PER_CLICK (USD),EARNINGS (USD),AD_REQUESTS_RPM (USD)
2014-04-23,partner-ebay-at,Tablet,49346,47385,0.9603,218095,855,0.0161,0.018,0.33,283.00,5.73
2014-05-21,partner-ebay-at,Tablet,45115,43312,0.96,199672,690,0.0171,0.0159,0.39,268.44,5.95
2014-05-20,partner-ebay-at,Tablet,43503,41754,0.9598,192161,659,0.0179,0.0158,0.41,273.48,6.29
2014-06-11,partner-ebay-at,Tablet,47606,45666,0.9592,210572,760,0.038,0.0166,0.35,269.41,5.66
2014-05-02,partner-ebay-at,Tablet,57572,55576,0.9653,256715,899,0.0175,0.0162,0.34,309.13,5.37
2014-06-01,partner-ebay-at,Tablet,81379,78246,0.9615,361553,1311,0.0128,0.0168,0.35,463.65,5.70
2014-05-19,partner-ebay-at,Tablet,44566,42664,0.9573,196435,692,0.0142,0.0162,0.37,253.26,5.68
2014-05-03,partner-ebay-at,Tablet,86629,83623,0.9653,386861,1434,0.0104,0.0171,0.36,510.14,5.89
2014-05-18,partner-ebay-at,Tablet,88065,84491,0.9594,389755,1273,0.0139,0.0151,0.34,436.20,4.95
2014-04-22,partner-ebay-at,Tablet,54803,52765,0.9628,243004,889,0.0188,0.0168,0.36,315.72,5.76
2014-05-04,partner-ebay-at,Tablet,88367,85275,0.965,393367,1397,0.0169,0.0164,0.33,461.36,5.22
2014-06-02,partner-ebay-at,Tablet,51915,49742,0.9581,230079,784,0.0088,0.0158,0.37,291.83,5.62
2014-05-17,partner-ebay-at,Tablet,75976,73222,0.9638,339582,1068,0.0193,0.0146,0.36,383.64,5.05
2014-06-09,partner-ebay-at,Tablet,73337,70446,0.9606,327178,1158,0.0261,0.0164,0.40,466.94,6.37
2014-05-16,partner-ebay-at,Tablet,58032,56002,0.965,258543,880,0.0112,0.0157,0.37,329.35,5.68
2014-04-21,partner-ebay-at,Tablet,89232,85632,0.9597,393580,1542,0.0185,0.018,0.37,563.84,6.32
2014-05-05,partner-ebay-at,Tablet,50657,48537,0.9581,222147,851,0.0196,0.0175,0.35,295.22,5.83
2014-06-03,partner-ebay-at,Tablet,50126,47384,0.9453,216459,781,0.0213,0.0165,0.36,278.82,5.56
2014-05-15,partner-ebay-at,Tablet,53656,51637,0.9624,237014,854,0.0317,0.0165,0.34,294.10,5.48
2014-06-08,partner-ebay-at,Tablet,64092,61259,0.9558,282029,916,0.0172,0.015,0.41,376.91,5.88
2014-05-28,partner-ebay-at,Tablet,52998,50678,0.9562,233206,799,0.0184,0.0158,0.37,296.78,5.60
2014-04-27,partner-ebay-at,Tablet,92390,89095,0.9643,412564,1521,0.0136,0.0171,0.35,524.93,5.68
2014-05-27,partner-ebay-at,Tablet,55333,53239,0.9622,246289,878,0.0373,0.0165,0.34,297.05,5.37
2014-04-28,partner-ebay-at,Tablet,54812,52805,0.9634,244693,886,0.0188,0.0168,0.37,326.89,5.96
2014-04-16,partner-ebay-at,Tablet,53285,51183,0.9606,236220,840,0.0059,0.0164,0.38,315.09,5.91
2014-04-25,partner-ebay-at,Tablet,51585,49567,0.9609,227736,843,0.022,0.017,0.37,312.59,6.06
2014-05-26,partner-ebay-at,Tablet,53409,51232,0.9592,235565,836,0.0165,0.0163,0.39,325.13,6.09
2014-04-29,partner-ebay-at,Tablet,54526,52417,0.9613,241948,942,0.0084,0.018,0.38,361.60,6.63
2014-05-29,partner-ebay-at,Tablet,84850,81635,0.9621,377695,1322,0.02,0.0162,0.36,481.83,5.68
2014-05-25,partner-ebay-at,Tablet,66600,63569,0.9545,292631,975,0.0181,0.0153,0.34,335.14,5.03
2014-05-01,partner-ebay-at,Tablet,69462,66972,0.9642,309181,1120,0.0097,0.0167,0.37,409.54,5.90
2014-05-24,partner-ebay-at,Tablet,53727,51342,0.9556,237017,788,0.0125,0.0153,0.38,299.19,5.57
2014-04-30,partner-ebay-at,Tablet,45325,43682,0.9638,202380,744,0.0236,0.017,0.37,277.94,6.13
2014-05-30,partner-ebay-at,Tablet,56797,54629,0.9618,253141,920,0.0129,0.0168,0.36,333.72,5.88
2014-05-23,partner-ebay-at,Tablet,47097,45133,0.9583,208318,682,0.0159,0.0151,0.42,284.68,6.04
2014-04-24,partner-ebay-at,Tablet,49433,47497,0.9608,219353,782,0.0076,0.0165,0.34,267.97,5.42
2014-05-22,partner-ebay-at,Tablet,42510,40329,0.9487,185377,634,0.0291,0.0157,0.39,244.59,5.75
2014-04-18,partner-ebay-at,Tablet,56873,54624,0.9605,250613,968,0.0222,0.0177,0.38,363.02,6.38
2014-06-07,partner-ebay-at,Tablet,48364,46369,0.9588,214518,677,0.0188,0.0146,0.43,289.08,5.98
2014-05-31,partner-ebay-at,Tablet,63761,61444,0.9637,286305,904,0.0216,0.0147,0.38,345.40,5.42
2014-04-26,partner-ebay-at,Tablet,66399,63833,0.9614,296635,1058,0.0149,0.0166,0.36,382.32,5.76
2014-04-15,partner-ebay-at,Tablet,59137,56689,0.9586,261053,982,0.015,0.0173,0.35,346.34,5.86
2014-05-07,partner-ebay-at,Tablet,55425,53368,0.9629,245319,866,0.0159,0.0162,0.33,287.01,5.18
2014-05-11,partner-ebay-at,Tablet,95390,91813,0.9625,422255,1507,0.0157,0.0164,0.35,525.19,5.51
2014-06-04,partner-ebay-at,Tablet,45732,43845,0.9587,201752,693,0.0281,0.0158,0.35,244.63,5.35
2014-05-09,partner-ebay-at,Tablet,49437,47557,0.962,219517,737,0.0186,0.0155,0.36,262.97,5.32
2014-05-14,partner-ebay-at,Tablet,52621,50480,0.9593,232716,848,0.014,0.0168,0.34,291.33,5.54
2014-04-19,partner-ebay-at,Tablet,66121,63824,0.9653,295328,1006,0.0157,0.0158,0.37,369.52,5.59
2014-06-05,partner-ebay-at,Tablet,46944,44722,0.9527,205625,643,0.0168,0.0144,0.38,243.45,5.19
2014-05-12,partner-ebay-at,Tablet,54866,52693,0.9604,242007,907,0.0173,0.0172,0.35,321.25,5.86
2014-05-10,partner-ebay-at,Tablet,59511,57574,0.9675,266507,820,0.0109,0.0142,0.37,302.32,5.08
2014-05-13,partner-ebay-at,Tablet,57378,55025,0.959,253342,999,0.0099,0.0182,0.34,339.78,5.92
2014-06-06,partner-ebay-at,Tablet,40013,38172,0.954,174501,530,0.0185,0.0139,0.44,235.53,5.89
2014-04-17,partner-ebay-at,Tablet,48105,45894,0.954,210780,782,0.0286,0.017,0.35,271.04,5.63
2014-05-08,partner-ebay-at,Tablet,46195,44266,0.9582,203505,779,0.0201,0.0176,0.34,266.65,5.77
2014-04-20,partner-ebay-at,Tablet,81648,78296,0.9589,362104,1109,0.0195,0.0142,0.37,413.12,5.06
2014-05-06,partner-ebay-at,Tablet,47377,45681,0.9642,210162,817,0.0133,0.0179,0.37,306.18,6.46
2014-06-10,partner-ebay-at,Tablet,45522,43605,0.9579,201550,696,0.0169,0.016,0.40,275.29,6.05
2014-05-01,partner-ebay-at,unknown,82,0,0,0,0,,,,0.00,0.00
2014-06-07,partner-ebay-at,unknown,79,0,0,0,0,,,,0.00,0.00
2014-04-18,partner-ebay-at,unknown,87,0,0,0,0,,,,0.00,0.00
2014-06-05,partner-ebay-at,unknown,125,0,0,0,0,,,,0.00,0.00
2014-05-12,partner-ebay-at,unknown,120,0,0,0,0,,,,0.00,0.00
2014-05-22,partner-ebay-at,unknown,56,0,0,0,0,,,,0.00,0.00
2014-05-31,partner-ebay-at,unknown,47,0,0,0,0,,,,0.00,0.00
2014-05-23,partner-ebay-at,unknown,51,0,0,0,0,,,,0.00,0.00
2014-04-30,partner-ebay-at,unknown,50,0,0,0,0,,,,0.00,0.00
2014-05-21,partner-ebay-at,unknown,39,0,0,0,0,,,,0.00,0.00
2014-05-30,partner-ebay-at,unknown,48,0,0,0,0,,,,0.00,0.00
2014-04-17,partner-ebay-at,unknown,69,0,0,0,0,,,,0.00,0.00
2014-05-11,partner-ebay-at,unknown,99,0,0,0,0,,,,0.00,0.00
2014-05-26,partner-ebay-at,unknown,78,0,0,0,0,,,,0.00,0.00
2014-04-26,partner-ebay-at,unknown,71,0,0,0,0,,,,0.00,0.00
2014-05-28,partner-ebay-at,unknown,95,0,0,0,0,,,,0.00,0.00
2014-06-10,partner-ebay-at,unknown,38,0,0,0,0,,,,0.00,0.00
2014-06-06,partner-ebay-at,unknown,145,0,0,0,0,,,,0.00,0.00
2014-04-27,partner-ebay-at,unknown,95,0,0,0,0,,,,0.00,0.00
2014-05-27,partner-ebay-at,unknown,130,0,0,0,0,,,,0.00,0.00
2014-04-16,partner-ebay-at,unknown,76,0,0,0,0,,,,0.00,0.00
2014-04-28,partner-ebay-at,unknown,155,0,0,0,0,,,,0.00,0.00
2014-04-25,partner-ebay-at,unknown,121,0,0,0,0,,,,0.00,0.00
2014-04-24,partner-ebay-at,unknown,114,0,0,0,0,,,,0.00,0.00
2014-04-19,partner-ebay-at,unknown,116,0,0,0,0,,,,0.00,0.00
2014-05-10,partner-ebay-at,unknown,63,0,0,0,0,,,,0.00,0.00
2014-05-29,partner-ebay-at,unknown,75,0,0,0,0,,,,0.00,0.00
2014-05-25,partner-ebay-at,unknown,105,0,0,0,0,,,,0.00,0.00
2014-05-09,partner-ebay-at,unknown,91,0,0,0,0,,,,0.00,0.00
2014-04-29,partner-ebay-at,unknown,136,0,0,0,0,,,,0.00,0.00
2014-05-24,partner-ebay-at,unknown,42,0,0,0,0,,,,0.00,0.00
2014-06-08,partner-ebay-at,unknown,35,0,0,0,0,,,,0.00,0.00
2014-04-21,partner-ebay-at,unknown,65,0,0,0,0,,,,0.00,0.00
2014-05-17,partner-ebay-at,unknown,109,0,0,0,0,,,,0.00,0.00
2014-05-14,partner-ebay-at,unknown,150,0,0,0,0,,,,0.00,0.00
2014-05-04,partner-ebay-at,unknown,88,0,0,0,0,,,,0.00,0.00
2014-06-02,partner-ebay-at,unknown,163,0,0,0,0,,,,0.00,0.00
2014-04-20,partner-ebay-at,unknown,139,0,0,0,0,,,,0.00,0.00
2014-04-23,partner-ebay-at,unknown,104,0,0,0,0,,,,0.00,0.00
2014-05-03,partner-ebay-at,unknown,90,0,0,0,0,,,,0.00,0.00
2014-06-04,partner-ebay-at,unknown,135,0,0,0,0,,,,0.00,0.00
2014-04-22,partner-ebay-at,unknown,125,0,0,0,0,,,,0.00,0.00
2014-05-16,partner-ebay-at,unknown,75,0,0,0,0,,,,0.00,0.00
2014-05-18,partner-ebay-at,unknown,211,0,0,0,0,,,,0.00,0.00
2014-05-07,partner-ebay-at,unknown,88,0,0,0,0,,,,0.00,0.00
2014-06-09,partner-ebay-at,unknown,63,0,0,0,0,,,,0.00,0.00
2014-05-06,partner-ebay-at,unknown,47,0,0,0,0,,,,0.00,0.00
2014-05-19,partner-ebay-at,unknown,55,0,0,0,0,,,,0.00,0.00
2014-06-03,partner-ebay-at,unknown,86,0,0,0,0,,,,0.00,0.00
2014-05-15,partner-ebay-at,unknown,113,0,0,0,0,,,,0.00,0.00
2014-05-05,partner-ebay-at,unknown,81,0,0,0,0,,,,0.00,0.00
2014-05-20,partner-ebay-at,unknown,83,0,0,0,0,,,,0.00,0.00
2014-05-08,partner-ebay-at,unknown,146,0,0,0,0,,,,0.00,0.00
2014-05-02,partner-ebay-at,unknown,78,0,0,0,0,,,,0.00,0.00
2014-04-15,partner-ebay-at,unknown,193,0,0,0,0,,,,0.00,0.00
2014-06-11,partner-ebay-at,unknown,102,0,0,0,0,,,,0.00,0.00
2014-05-13,partner-ebay-at,unknown,111,0,0,0,0,,,,0.00,0.00
2014-06-01,partner-ebay-at,unknown,277,0,0,0,0,,,,0.00,0.00
2014-05-05,partner-ebay-at-vip-01,Desktop,455262,323944,0.7116,1223111,409,0.0145,0.0013,0.37,151.05,0.33
2014-06-06,partner-ebay-at-vip-01,Desktop,329388,232791,0.7067,879705,251,0.0383,0.0011,0.56,139.50,0.42
2014-05-04,partner-ebay-at-vip-01,Desktop,614954,431913,0.7024,1623718,559,0.0261,0.0013,0.33,186.16,0.30
2014-05-15,partner-ebay-at-vip-01,Desktop,490281,353358,0.7207,1334473,469,0.0188,0.0013,0.39,183.99,0.38
2014-05-28,partner-ebay-at-vip-01,Desktop,447017,326754,0.731,1253221,524,0.0113,0.0016,0.38,200.82,0.45
2014-04-28,partner-ebay-at-vip-01,Desktop,494542,347454,0.7026,1297247,495,0.012,0.0014,0.35,170.98,0.35
